feature,coefficient,abs_coefficient
Bz_t-3,1.775031478588185,1.775031478588185
Np_t-3,1.731407240252142,1.731407240252142
By_t-3,1.0188512976707986,1.0188512976707986
By_t-1,-0.9827057563870817,0.9827057563870817
Bz_t-1,-0.8319280001883653,0.8319280001883653
By_t-2,-0.24438604968843716,0.24438604968843716
Np_t-2,-0.1780727221910306,0.1780727221910306
Bz_t-2,-0.0,0.0
Np_t-1,-0.0,0.0
